Date,GPRD
1/10/12,126
1/11/12,79
1/12/12,60
1/13/12,51
1/14/12,74
1/15/12,55
1/16/12,71
1/17/12,45
1/18/12,25
1/19/12,75
1/20/12,38
1/21/12,25
1/22/12,18
1/23/12,73
1/24/12,82
1/25/12,54
1/26/12,30
1/27/12,38
1/28/12,51
1/29/12,56
1/30/12,18
1/31/12,16
2/1/12,64
2/2/12,50
2/3/12,69
2/4/12,83
2/5/12,55
2/6/12,64
2/7/12,25
2/8/12,40
2/9/12,45
2/10/12,30
2/11/12,69
2/12/12,19
2/13/12,65
2/14/12,58
2/15/12,98
2/16/12,83
2/17/12,53
2/18/12,128
2/19/12,0
2/20/12,108
2/21/12,80
2/22/12,172
2/23/12,89
2/24/12,88
2/25/12,81
2/26/12,79
2/27/12,55
2/28/12,75
2/29/12,36
3/1/12,107
3/2/12,91
3/3/12,118
3/4/12,55
3/5/12,84
3/6/12,198
3/7/12,209
3/8/12,110
3/9/12,60
3/10/12,57
3/11/12,111
3/12/12,95
3/13/12,111
3/14/12,17
3/15/12,62
3/16/12,53
3/17/12,31
3/18/12,20
3/19/12,47
3/20/12,34
3/21/12,80
3/22/12,102
3/23/12,92
3/24/12,43
3/25/12,38
3/26/12,38
3/27/12,18
3/28/12,119
3/29/12,98
3/30/12,55
3/31/12,24
4/1/12,134
4/2/12,28
4/3/12,59
4/4/12,94
4/5/12,122
4/6/12,16
4/7/12,28
4/8/12,48
4/9/12,51
4/10/12,75
4/11/12,69
4/12/12,71
4/13/12,108
4/14/12,74
4/15/12,33
4/16/12,48
4/17/12,54
4/18/12,25
4/19/12,16
4/20/12,23
4/21/12,38
4/22/12,54
4/23/12,9
4/24/12,53
4/25/12,48
4/26/12,54
4/27/12,112
4/28/12,63
4/29/12,88
4/30/12,29
5/1/12,68
5/2/12,0
5/3/12,46
5/4/12,61
5/5/12,43
5/6/12,73
5/7/12,46
5/8/12,45
5/9/12,51
5/10/12,70
5/11/12,38
5/12/12,31
5/13/12,0
5/14/12,56
5/15/12,44
5/16/12,58
5/17/12,39
5/18/12,65
5/19/12,68
5/20/12,53
5/21/12,149
5/22/12,132
5/23/12,52
5/24/12,81
5/25/12,30
5/26/12,70
5/27/12,41
5/28/12,75
5/29/12,76
5/30/12,43
5/31/12,23
6/1/12,37
6/2/12,20
6/3/12,20
6/4/12,22
6/5/12,60
6/6/12,100
6/7/12,64
6/8/12,72
6/9/12,13
6/10/12,0
6/11/12,29
6/12/12,17
6/13/12,34
6/14/12,55
6/15/12,32
6/16/12,33
6/17/12,0
6/18/12,49
6/19/12,55
6/20/12,68
6/21/12,24
6/22/12,23
6/23/12,52
6/24/12,19
6/25/12,31
6/26/12,180
6/27/12,43
6/28/12,59
6/29/12,24
6/30/12,19
7/1/12,21
7/2/12,84
7/3/12,19
7/4/12,86
7/5/12,18
7/6/12,43
7/7/12,13
7/8/12,66
7/9/12,51
7/10/12,96
7/11/12,9
7/12/12,44
7/13/12,82
7/14/12,7
7/15/12,64
7/16/12,62
7/17/12,120
7/18/12,18
7/19/12,48
7/20/12,136
7/21/12,33
7/22/12,63
7/23/12,39
7/24/12,98
7/25/12,68
7/26/12,8
7/27/12,69
7/28/12,55
7/29/12,82
7/30/12,94
7/31/12,89
8/1/12,77
8/2/12,131
8/3/12,39
8/4/12,13
8/5/12,19
8/6/12,40
8/7/12,59
8/8/12,18
8/9/12,23
8/10/12,23
8/11/12,34
8/12/12,39
8/13/12,34
8/14/12,46
8/15/12,53
8/16/12,66
8/17/12,55
8/18/12,21
8/19/12,39
8/20/12,86
8/21/12,105
8/22/12,62
8/23/12,48
8/24/12,48
8/25/12,7
8/26/12,19
8/27/12,31
8/28/12,60
8/29/12,81
8/30/12,48
8/31/12,45
9/1/12,39
9/2/12,101
9/3/12,33
9/4/12,46
9/5/12,34
9/6/12,52
9/7/12,52
9/8/12,45
9/9/12,16
9/10/12,21
9/11/12,85
9/12/12,68
9/13/12,46
9/14/12,97
9/15/12,32
9/16/12,36
9/17/12,112
9/18/12,156
9/19/12,34
9/20/12,55
9/21/12,24
9/22/12,26
9/23/12,90
9/24/12,59
9/25/12,46
9/26/12,93
9/27/12,94
9/28/12,158
9/29/12,46
9/30/12,126
10/1/12,68
10/2/12,70
10/3/12,69
10/4/12,38
10/5/12,63
10/6/12,53
10/7/12,55
10/8/12,126
10/9/12,113
10/10/12,84
10/11/12,31
10/12/12,22
10/13/12,46
10/14/12,0
10/15/12,53
10/16/12,82
10/17/12,50
10/18/12,99
10/19/12,64
10/20/12,32
10/21/12,142
10/22/12,84
10/23/12,118
10/24/12,122
10/25/12,75
10/26/12,39
10/27/12,46
10/28/12,35
10/29/12,63
10/30/12,47
10/31/12,74
11/1/12,38
11/2/12,15
11/3/12,19
11/4/12,36
11/5/12,69
11/6/12,45
11/7/12,31
11/8/12,66
11/9/12,47
11/10/12,24
11/11/12,130
11/12/12,75
11/13/12,31
11/14/12,45
11/15/12,83
11/16/12,126
11/17/12,103
11/18/12,125
11/19/12,141
11/20/12,70
11/21/12,45
11/22/12,69
11/23/12,71
11/24/12,32
11/25/12,58
11/26/12,44
11/27/12,41
11/28/12,29
11/29/12,33
11/30/12,33
12/1/12,55
12/2/12,82
12/3/12,42
12/4/12,54
12/5/12,80
12/6/12,50
12/7/12,78
12/8/12,19
12/9/12,194
12/10/12,82
12/11/12,16
12/12/12,69
12/13/12,60
12/14/12,42
12/15/12,20
12/16/12,16
12/17/12,61
12/18/12,77
12/19/12,62
12/20/12,35
12/21/12,124
12/22/12,14
12/23/12,68
12/24/12,42
12/25/12,0
12/26/12,25
12/27/12,27
12/28/12,54
12/29/12,16
12/30/12,78
12/31/12,62
1/1/13,25
1/2/13,39
1/3/13,22
1/4/13,31
1/5/13,51
1/6/13,38
1/7/13,33
1/8/13,77
1/9/13,44
1/10/13,74
1/11/13,21
1/12/13,54
1/13/13,145
1/14/13,123
1/15/13,98
1/16/13,102
1/17/13,103
1/18/13,120
1/19/13,151
1/20/13,95
1/21/13,187
1/22/13,153
1/23/13,99
1/24/13,85
1/25/13,151
1/26/13,76
1/27/13,137
1/28/13,69
1/29/13,35
1/30/13,70
1/31/13,89
2/1/13,124
2/2/13,150
2/3/13,187
2/4/13,37
2/5/13,57
2/6/13,65
2/7/13,79
2/8/13,101
2/9/13,22
2/10/13,27
2/11/13,31
2/12/13,87
2/13/13,68
2/14/13,40
2/15/13,67
2/16/13,11
2/17/13,59
2/18/13,34
2/19/13,92
2/20/13,23
2/21/13,108
2/22/13,75
2/23/13,23
2/24/13,46
2/25/13,32
2/26/13,40
2/27/13,90
2/28/13,30
3/1/13,16
3/2/13,32
3/3/13,347
3/4/13,25
3/5/13,108
3/6/13,140
3/7/13,198
3/8/13,214
3/9/13,37
3/10/13,75
3/11/13,176
3/12/13,89
3/13/13,28
3/14/13,5
3/15/13,69
3/16/13,44
3/17/13,39
3/18/13,9
3/19/13,52
3/20/13,44
3/21/13,122
3/22/13,52
3/23/13,30
3/24/13,19
3/25/13,39
3/26/13,36
3/27/13,88
3/28/13,50
3/29/13,86
3/30/13,49
3/31/13,55
4/1/13,90
4/2/13,85
4/3/13,61
4/4/13,183
4/5/13,100
4/6/13,121
4/7/13,133
4/8/13,112
4/9/13,144
4/10/13,96
4/11/13,84
4/12/13,141
4/13/13,71
4/14/13,15
4/15/13,148
4/16/13,78
4/17/13,178
4/18/13,60
4/19/13,63
4/20/13,100
4/21/13,151
4/22/13,73
4/23/13,170
4/24/13,49
4/25/13,56
4/26/13,109
4/27/13,95
4/28/13,106
4/29/13,75
4/30/13,46
5/1/13,105
5/2/13,13
5/3/13,62
5/4/13,26
5/5/13,48
5/6/13,26
5/7/13,59
5/8/13,21
5/9/13,57
5/10/13,67
5/11/13,48
5/12/13,47
5/13/13,101
5/14/13,46
5/15/13,50
5/16/13,73
5/17/13,43
5/18/13,49
5/19/13,31
5/20/13,112
5/21/13,78
5/22/13,35
5/23/13,116
5/24/13,57
5/25/13,154
5/26/13,78
5/27/13,123
5/28/13,118
5/29/13,30
5/30/13,81
5/31/13,74
6/1/13,76
6/2/13,106
6/3/13,93
6/4/13,45
6/5/13,68
6/6/13,62
6/7/13,192
6/8/13,73
6/9/13,121
6/10/13,53
6/11/13,137
6/12/13,79
6/13/13,77
6/14/13,50
6/15/13,45
6/16/13,93
6/17/13,72
6/18/13,57
6/19/13,45
6/20/13,52
6/21/13,78
6/22/13,55
6/23/13,75
6/24/13,50
6/25/13,16
6/26/13,64
6/27/13,22
6/28/13,36
6/29/13,20
6/30/13,33
7/1/13,18
7/2/13,56
7/3/13,15
7/4/13,78
7/5/13,79
7/6/13,41
7/7/13,108
7/8/13,47
7/9/13,8
7/10/13,8
7/11/13,60
7/12/13,67
7/13/13,32
7/14/13,36
7/15/13,63
7/16/13,81
7/17/13,61
7/18/13,40
7/19/13,52
7/20/13,19
7/21/13,0
7/22/13,18
7/23/13,41
7/24/13,24
7/25/13,55
7/26/13,22
7/27/13,45
7/28/13,70
7/29/13,19
7/30/13,56
7/31/13,8
8/1/13,75
8/2/13,30
8/3/13,67
8/4/13,33
8/5/13,54
8/6/13,141
8/7/13,93
8/8/13,133
8/9/13,104
8/10/13,142
8/11/13,126
8/12/13,71
8/13/13,34
8/14/13,63
8/15/13,21
8/16/13,90
8/17/13,47
8/18/13,95
8/19/13,55
8/20/13,69
8/21/13,58
8/22/13,8
8/23/13,58
8/24/13,41
8/25/13,19
8/26/13,78
8/27/13,113
8/28/13,301
8/29/13,292
8/30/13,255
8/31/13,236
9/1/13,310
9/2/13,279
9/3/13,316
9/4/13,237
9/5/13,214
9/6/13,147
9/7/13,122
9/8/13,193
9/9/13,192
9/10/13,299
9/11/13,186
9/12/13,156
9/13/13,172
9/14/13,90
9/15/13,95
9/16/13,177
9/17/13,189
9/18/13,60
9/19/13,35
9/20/13,108
9/21/13,102
9/22/13,153
9/23/13,108
9/24/13,116
9/25/13,98
9/26/13,117
9/27/13,45
9/28/13,47
9/29/13,18
9/30/13,36
10/1/13,82
10/2/13,57
10/3/13,35
10/4/13,84
10/5/13,72
10/6/13,83
10/7/13,91
10/8/13,79
10/9/13,83
10/10/13,43
10/11/13,53
10/12/13,60
10/13/13,17
10/14/13,9
10/15/13,61
10/16/13,61
10/17/13,42
10/18/13,51
10/19/13,67
10/20/13,15
10/21/13,53
10/22/13,113
10/23/13,73
10/24/13,50
10/25/13,40
10/26/13,41
10/27/13,67
10/28/13,76
10/29/13,55
10/30/13,40
10/31/13,63
11/1/13,83
11/2/13,32
11/3/13,15
11/4/13,36
11/5/13,34
11/6/13,33
11/7/13,49
11/8/13,97
11/9/13,32
11/10/13,16
11/11/13,26
11/12/13,51
11/13/13,65
11/14/13,52
11/15/13,78
11/16/13,33
11/17/13,77
11/18/13,27
11/19/13,35
11/20/13,32
11/21/13,84
11/22/13,45
11/23/13,26
11/24/13,62
11/25/13,169
11/26/13,214
11/27/13,87
11/28/13,81
11/29/13,107
11/30/13,59
12/1/13,86
12/2/13,47
12/3/13,54
12/4/13,101
12/5/13,99
12/6/13,60
12/7/13,54
12/8/13,79
12/9/13,51
12/10/13,69
12/11/13,33
12/12/13,64
12/13/13,0
12/14/13,34
12/15/13,33
12/16/13,18
12/17/13,59
12/18/13,60
12/19/13,66
12/20/13,137
12/21/13,77
12/22/13,68
12/23/13,38
12/24/13,41
12/25/13,69
12/26/13,85
